source,class,confidence,frame
traffic.mp4,car,0.8795,5
traffic.mp4,car,0.8344,5
traffic.mp4,car,0.7321,5
traffic.mp4,car,0.6241,5
traffic.mp4,motorcycle,0.6187,5
traffic.mp4,motorcycle,0.6167,5
traffic.mp4,person,0.5292,5
traffic.mp4,motorcycle,0.525,5
traffic.mp4,motorcycle,0.5115,5
traffic.mp4,person,0.479,5
traffic.mp4,motorcycle,0.4687,5
traffic.mp4,person,0.443,5
traffic.mp4,motorcycle,0.421,5
traffic.mp4,person,0.4173,5
traffic.mp4,motorcycle,0.4136,5
traffic.mp4,motorcycle,0.3881,5
traffic.mp4,motorcycle,0.3819,5
traffic.mp4,motorcycle,0.3809,5
traffic.mp4,motorcycle,0.3768,5
traffic.mp4,motorcycle,0.354,5
traffic.mp4,motorcycle,0.3355,5
traffic.mp4,motorcycle,0.3254,5
traffic.mp4,person,0.3161,5
traffic.mp4,motorcycle,0.3155,5
traffic.mp4,motorcycle,0.3119,5
traffic.mp4,person,0.3107,5
traffic.mp4,motorcycle,0.3039,5
traffic.mp4,motorcycle,0.2992,5
traffic.mp4,motorcycle,0.2983,5
traffic.mp4,motorcycle,0.2977,5
traffic.mp4,motorcycle,0.295,5
traffic.mp4,person,0.2947,5
traffic.mp4,person,0.2898,5
traffic.mp4,motorcycle,0.2798,5
traffic.mp4,motorcycle,0.2782,5
traffic.mp4,motorcycle,0.2727,5
traffic.mp4,motorcycle,0.2675,5
traffic.mp4,person,0.2611,5
traffic.mp4,person,0.2571,5
traffic.mp4,car,0.8535,10
traffic.mp4,car,0.8473,10
traffic.mp4,car,0.8149,10
traffic.mp4,motorcycle,0.7084,10
traffic.mp4,person,0.5969,10
traffic.mp4,car,0.5845,10
traffic.mp4,motorcycle,0.5629,10
traffic.mp4,motorcycle,0.5441,10
traffic.mp4,person,0.5308,10
traffic.mp4,person,0.4884,10
traffic.mp4,person,0.4741,10
traffic.mp4,car,0.4649,10
traffic.mp4,person,0.4589,10
traffic.mp4,person,0.4468,10
traffic.mp4,motorcycle,0.4263,10
traffic.mp4,motorcycle,0.4164,10
traffic.mp4,motorcycle,0.4163,10
traffic.mp4,motorcycle,0.4006,10
traffic.mp4,motorcycle,0.3989,10
traffic.mp4,motorcycle,0.3966,10
traffic.mp4,motorcycle,0.3714,10
traffic.mp4,motorcycle,0.3626,10
traffic.mp4,person,0.3604,10
