source,class,confidence,frame
webcam,person,0.9618,2
webcam,person,0.9627,3
webcam,person,0.9621,4
webcam,person,0.9617,5
webcam,person,0.9663,6
webcam,person,0.962,7
webcam,person,0.9649,8
webcam,person,0.9622,9
webcam,person,0.9626,10
webcam,person,0.9438,11
webcam,person,0.965,12
webcam,person,0.9642,13
webcam,person,0.9693,14
webcam,person,0.9696,15
webcam,person,0.9708,16
webcam,person,0.966,17
webcam,person,0.9657,18
webcam,person,0.9665,19
webcam,person,0.9681,20
webcam,person,0.9643,21
webcam,person,0.9688,22
webcam,person,0.9677,23
webcam,person,0.967,24
webcam,person,0.9678,25
webcam,person,0.9686,26
webcam,person,0.9681,27
webcam,person,0.9684,28
webcam,person,0.9685,29
webcam,person,0.9667,30
webcam,person,0.966,31
webcam,person,0.9662,32
webcam,person,0.9653,33
webcam,person,0.9658,34
webcam,person,0.9659,35
webcam,person,0.9658,36
webcam,person,0.9639,37
webcam,person,0.9643,38
webcam,person,0.9635,39
webcam,person,0.9665,40
webcam,person,0.9663,41
webcam,person,0.9647,42
webcam,person,0.9641,43
webcam,person,0.9626,44
webcam,person,0.9616,45
webcam,person,0.9618,46
webcam,person,0.9598,47
webcam,toothbrush,0.3264,47
webcam,person,0.9565,48
webcam,toothbrush,0.599,48
webcam,person,0.9574,49
webcam,scissors,0.4133,49
webcam,person,0.9621,50
webcam,scissors,0.6822,50
webcam,person,0.9597,51
webcam,scissors,0.7217,51
webcam,person,0.9572,52
webcam,scissors,0.5192,52
webcam,person,0.9601,53
webcam,scissors,0.7146,53
webcam,person,0.9577,54
webcam,scissors,0.5384,54
webcam,person,0.9562,55
webcam,scissors,0.4079,55
webcam,toothbrush,0.2907,55
webcam,person,0.9579,56
webcam,scissors,0.5983,56
webcam,person,0.9525,57
webcam,toothbrush,0.3776,57
webcam,person,0.9556,58
webcam,toothbrush,0.3525,58
webcam,person,0.9619,59
webcam,scissors,0.8301,59
webcam,person,0.9586,60
webcam,scissors,0.8103,60
webcam,person,0.9598,61
webcam,scissors,0.82,61
webcam,person,0.9583,62
webcam,scissors,0.7448,62
webcam,person,0.9548,63
webcam,scissors,0.7301,63
webcam,person,0.9566,64
webcam,scissors,0.6919,64
webcam,person,0.9582,65
webcam,scissors,0.6998,65
webcam,person,0.9595,66
webcam,scissors,0.7455,66
webcam,person,0.9644,67
webcam,scissors,0.7665,67
webcam,person,0.96,68
webcam,scissors,0.6473,68
webcam,person,0.9608,69
webcam,scissors,0.6467,69
webcam,person,0.9586,70
webcam,scissors,0.6404,70
webcam,person,0.9585,71
webcam,scissors,0.7119,71
webcam,person,0.9606,72
webcam,scissors,0.7933,72
webcam,person,0.959,73
webcam,scissors,0.7508,73
webcam,person,0.961,74
webcam,scissors,0.7224,74
webcam,person,0.9596,75
webcam,scissors,0.7192,75
webcam,person,0.9608,76
webcam,scissors,0.7319,76
webcam,person,0.9599,77
webcam,scissors,0.7215,77
webcam,person,0.9628,78
webcam,scissors,0.5356,78
webcam,person,0.9657,79
webcam,scissors,0.5869,79
webcam,person,0.9694,80
webcam,scissors,0.7369,80
webcam,toothbrush,0.4833,80
webcam,toothbrush,0.2818,80
webcam,person,0.9651,81
webcam,scissors,0.6309,81
webcam,toothbrush,0.3661,81
webcam,person,0.9679,82
webcam,scissors,0.7033,82
webcam,toothbrush,0.5883,82
webcam,person,0.9675,83
webcam,toothbrush,0.6865,83
webcam,scissors,0.6341,83
webcam,person,0.9635,84
webcam,scissors,0.7072,84
webcam,toothbrush,0.312,84
webcam,person,0.9659,85
webcam,scissors,0.7444,85
webcam,toothbrush,0.4706,85
webcam,person,0.9649,86
webcam,scissors,0.6923,86
webcam,toothbrush,0.4784,86
webcam,person,0.9679,87
webcam,scissors,0.7,87
webcam,person,0.9681,88
webcam,scissors,0.7662,88
webcam,cell phone,0.4068,88
webcam,person,0.9639,89
webcam,scissors,0.7722,89
webcam,toothbrush,0.3935,89
webcam,person,0.9689,90
webcam,scissors,0.774,90
webcam,toothbrush,0.503,90
webcam,person,0.9692,91
webcam,scissors,0.7474,91
webcam,scissors,0.5743,91
webcam,person,0.9699,92
webcam,scissors,0.7875,92
webcam,scissors,0.6714,92
webcam,person,0.972,93
webcam,scissors,0.7311,93
webcam,scissors,0.5228,93
webcam,person,0.9702,94
webcam,scissors,0.7747,94
webcam,scissors,0.68,94
webcam,person,0.9703,95
webcam,scissors,0.75,95
webcam,scissors,0.6694,95
webcam,person,0.9682,96
webcam,scissors,0.7331,96
webcam,scissors,0.3339,96
webcam,toothbrush,0.2591,96
webcam,person,0.9667,97
webcam,scissors,0.8077,97
webcam,scissors,0.3846,97
webcam,person,0.9664,98
webcam,scissors,0.7852,98
webcam,scissors,0.4898,98
webcam,person,0.9676,99
webcam,scissors,0.7474,99
webcam,scissors,0.5456,99
webcam,person,0.9669,100
webcam,scissors,0.8027,100
webcam,toothbrush,0.3656,100
webcam,scissors,0.3065,100
webcam,person,0.9676,101
webcam,scissors,0.7463,101
webcam,scissors,0.5536,101
webcam,person,0.9681,102
webcam,scissors,0.7704,102
webcam,scissors,0.3102,102
webcam,person,0.9682,103
webcam,scissors,0.7638,103
webcam,scissors,0.3014,103
webcam,person,0.9669,104
webcam,scissors,0.7386,104
webcam,scissors,0.3226,104
webcam,toothbrush,0.2847,104
webcam,person,0.9673,105
webcam,scissors,0.7568,105
webcam,toothbrush,0.4706,105
webcam,person,0.9681,106
webcam,scissors,0.7556,106
webcam,toothbrush,0.3327,106
webcam,person,0.9689,107
webcam,scissors,0.7485,107
webcam,toothbrush,0.2928,107
webcam,person,0.9687,108
webcam,scissors,0.7377,108
webcam,scissors,0.3477,108
webcam,toothbrush,0.2536,108
webcam,person,0.9692,109
webcam,scissors,0.732,109
webcam,toothbrush,0.4673,109
webcam,person,0.9694,110
webcam,scissors,0.7811,110
webcam,scissors,0.4399,110
webcam,person,0.9687,111
webcam,scissors,0.7522,111
webcam,scissors,0.4986,111
webcam,toothbrush,0.2709,111
webcam,person,0.9685,112
webcam,scissors,0.7441,112
webcam,toothbrush,0.4056,112
webcam,scissors,0.2793,112
webcam,person,0.9683,113
webcam,scissors,0.8025,113
webcam,toothbrush,0.3819,113
webcam,scissors,0.3564,113
webcam,person,0.9695,114
webcam,scissors,0.8035,114
webcam,scissors,0.4824,114
webcam,person,0.97,115
webcam,scissors,0.8182,115
webcam,scissors,0.695,115
webcam,person,0.9699,116
webcam,scissors,0.7503,116
webcam,scissors,0.5121,116
webcam,toothbrush,0.4426,116
webcam,person,0.9691,117
webcam,scissors,0.7924,117
webcam,scissors,0.6801,117
webcam,person,0.9664,118
webcam,scissors,0.6181,118
webcam,toothbrush,0.2832,118
webcam,person,0.9534,119
webcam,person,0.9638,120
webcam,person,0.9645,121
webcam,person,0.967,122
webcam,person,0.9682,123
webcam,person,0.9687,124
webcam,person,0.9717,125
webcam,person,0.972,126
webcam,person,0.972,127
webcam,person,0.9716,128
webcam,person,0.9718,129
webcam,person,0.9721,130
webcam,person,0.9714,131
webcam,person,0.9726,132
webcam,person,0.9723,133
webcam,person,0.9714,134
webcam,person,0.9707,135
webcam,person,0.9679,136
webcam,person,0.969,137
webcam,person,0.9674,138
webcam,person,0.9684,139
webcam,person,0.9678,140
webcam,person,0.9686,141
webcam,person,0.9681,142
webcam,person,0.969,143
webcam,person,0.9696,144
webcam,person,0.9698,145
webcam,person,0.9689,146
webcam,person,0.9705,147
webcam,person,0.9691,148
webcam,person,0.969,149
webcam,person,0.9686,150
webcam,person,0.9692,151
webcam,person,0.9694,152
webcam,person,0.9695,153
webcam,person,0.9696,154
webcam,person,0.9702,155
webcam,person,0.969,156
webcam,person,0.9698,157
webcam,person,0.9679,158
webcam,person,0.968,159
webcam,person,0.968,160
webcam,person,0.9692,161
webcam,person,0.9696,162
webcam,person,0.9695,163
webcam,person,0.9697,164
webcam,person,0.9697,165
webcam,person,0.9701,166
webcam,person,0.9708,167
webcam,person,0.9697,168
webcam,person,0.9709,169
webcam,person,0.9701,170
webcam,person,0.9685,171
webcam,person,0.9692,172
webcam,person,0.9685,173
webcam,person,0.9691,174
webcam,person,0.9681,175
webcam,person,0.9685,176
webcam,person,0.9659,177
webcam,person,0.9637,178
webcam,person,0.9629,179
webcam,person,0.9469,180
webcam,toothbrush,0.294,180
webcam,remote,0.2821,180
webcam,person,0.9565,181
webcam,wine glass,0.4538,181
webcam,person,0.9381,182
webcam,person,0.9428,183
webcam,cell phone,0.4052,183
webcam,person,0.9478,184
webcam,cell phone,0.6492,184
webcam,person,0.9338,185
webcam,cell phone,0.6046,185
webcam,person,0.935,186
webcam,cell phone,0.5176,186
webcam,person,0.8424,187
webcam,person,0.4355,187
webcam,person,0.8887,188
webcam,person,0.6013,188
webcam,person,0.9485,189
webcam,person,0.869,189
webcam,person,0.9501,190
webcam,person,0.8365,190
